country_txt,attacks_total,avg_killed,avg_wounded,median_killed,max_killed,severity_index,attacktype_Armed Assault,attacktype_Assassination,attacktype_Bombing/Explosion,attacktype_Facility/Infrastructure Attack,attacktype_Hijacking,attacktype_Hostage Taking (Barricade Incident),attacktype_Hostage Taking (Kidnapping),attacktype_Unarmed Assault,attacktype_Unknown
Afghanistan,18796,3.5709725473505003,3.5345818259204087,1.0,466.0,1.4696352265486803,0.21254522238774207,0.07352628218769951,0.433017663332624,0.023356033198552884,0.001383273036816344,0.0023941264098744416,0.07677165354330709,0.004256224728665673,0.17274952117471803
Albania,17,0.058823529411764705,0.11764705882352941,0.0,1.0,0.08154672712469944,0.0,0.058823529411764705,0.8235294117647058,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0
Algeria,1360,2.7044117647058825,2.478676470588235,1.0,69.0,1.3360631634916065,0.3610294117647059,0.041176470588235294,0.5022058823529412,0.0058823529411764705,0.0014705882352941176,0.0007352941176470588,0.04044117647058824,0.0,0.047058823529411764
Angola,81,13.74074074074074,11.765432098765432,5.0,259.0,2.127449590796956,0.5061728395061729,0.0,0.08641975308641975,0.07407407407407407,0.0,0.0,0.12345679012345678,0.012345679012345678,0.19753086419753085
Argentina,35,0.05714285714285714,0.2857142857142857,0.0,2.0,0.1931877933944016,0.05714285714285714,0.05714285714285714,0.6,0.2,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0
Armenia,12,0.6666666666666666,0.25,0.0,6.0,0.40433585532663474,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
Australia,52,0.2692307692307692,0.6346153846153846,0.0,3.0,0.2985697315029196,0.21153846153846154,0.0,0.07692307692307693,0.6346153846153846,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0
Austria,23,0.43478260869565216,1.5217391304347827,0.0,5.0,0.47869860916753976,0.30434782608695654,0.0,0.0,0.6086956521739131,0.0,0.0,0.0,0.08695652173913043,0.0
Azerbaijan,19,0.6842105263157895,1.5789473684210527,0.0,5.0,0.8871236867254376,0.10526315789473684,0.15789473684210525,0.47368421052631576,0.15789473684210525,0.0,0.0,0.0,0.0,0.10526315789473684
Bahamas,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,169,0.17159763313609466,0.9940828402366864,0.0,3.0,0.5010439726579314,0.1893491124260355,0.011834319526627219,0.6449704142011834,0.1301775147928994,0.0,0.005917159763313609,0.0,0.005917159763313609,0.011834319526627219
Bangladesh,1174,0.4514480408858603,2.6252129471890973,0.0,28.0,0.6604232056454681,0.13373083475298125,0.08347529812606473,0.5400340715502555,0.1797274275979557,0.0,0.00596252129471891,0.03577512776831346,0.007666098807495741,0.013628620102214651
Belarus,11,1.1818181818181819,19.272727272727273,0.0,13.0,0.8899780715643442,0.0,0.0,0.5454545454545454,0.36363636363636365,0.0,0.0,0.0,0.09090909090909091,0.0
Belgium,32,1.46875,9.65625,0.0,18.0,0.8336212654268079,0.21875,0.03125,0.1875,0.28125,0.0,0.03125,0.0,0.25,0.0
Belize,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Benin,3,0.6666666666666666,1.6666666666666667,1.0,1.0,1.1337324605540517,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Bhutan,6,1.5,0.8333333333333334,0.5,4.0,1.0067091185462356,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
Bolivia,21,0.5714285714285714,3.2857142857142856,0.0,8.0,0.5337092263896827,0.09523809523809523,0.047619047619047616,0.42857142857142855,0.3333333333333333,0.0,0.0,0.09523809523809523,0.0,0.0
Bosnia-Herzegovina,35,0.2571428571428571,0.9714285714285714,0.0,2.0,0.5261713656013709,0.14285714285714285,0.08571428571428572,0.5714285714285714,0.11428571428571428,0.0,0.0,0.0,0.05714285714285714,0.02857142857142857
Brazil,48,0.5416666666666666,0.4375,0.0,5.0,0.453415638816486,0.22916666666666666,0.375,0.20833333333333334,0.10416666666666667,0.0,0.020833333333333332,0.0625,0.0,0.0
Bulgaria,19,0.6842105263157895,1.6842105263157894,0.0,7.0,0.4468219170340002,0.0,0.10526315789473684,0.5789473684210527,0.15789473684210525,0.0,0.0,0.0,0.15789473684210525,0.0
Burkina Faso,392,4.420918367346939,1.8214285714285714,2.0,58.0,1.333342177637548,0.5229591836734694,0.05102040816326531,0.12755102040816327,0.061224489795918366,0.01020408163265306,0.01020408163265306,0.10714285714285714,0.0,0.1096938775510204
Burundi,388,2.6056701030927836,2.729381443298969,1.0,36.0,1.3187126787977141,0.36082474226804123,0.08762886597938144,0.4175257731958763,0.02577319587628866,0.002577319587628866,0.002577319587628866,0.05154639175257732,0.0,0.05154639175257732
Cambodia,21,1.0476190476190477,1.8571428571428572,0.0,8.0,0.8112349516513679,0.2857142857142857,0.09523809523809523,0.5238095238095238,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0
Cameroon,860,3.6116279069767443,1.8953488372093024,1.0,180.0,1.0179512003790456,0.24651162790697675,0.03488372093023256,0.18372093023255814,0.11162790697674418,0.005813953488372093,0.009302325581395349,0.3127906976744186,0.0011627906976744186,0.0941860465116279
Canada,83,0.3614457831325301,1.927710843373494,0.0,10.0,0.5198730926503277,0.18072289156626506,0.012048192771084338,0.20481927710843373,0.4578313253012048,0.0,0.0,0.012048192771084338,0.13253012048192772,0.0
Central African Republic,373,6.512064343163539,4.297587131367292,1.0,136.0,1.4527218728845905,0.517426273458445,0.032171581769437,0.05361930294906166,0.03753351206434316,0.00804289544235925,0.01876675603217158,0.19571045576407506,0.0,0.13672922252010725
Chad,114,12.043859649122806,16.105263157894736,5.0,160.0,2.1097912006365895,0.2982456140350877,0.0,0.2543859649122807,0.03508771929824561,0.008771929824561403,0.008771929824561403,0.14035087719298245,0.0,0.2543859649122807
Chile,229,0.034934497816593885,0.3231441048034934,0.0,2.0,0.16294507310628936,0.13100436681222707,0.008733624454148471,0.29694323144104806,0.5152838427947598,0.017467248908296942,0.013100436681222707,0.0,0.013100436681222707,0.004366812227074236
China,173,4.855491329479769,6.416184971098266,0.0,184.0,1.4735929824005487,0.3468208092485549,0.023121387283236993,0.4682080924855491,0.06358381502890173,0.028901734104046242,0.0,0.011560693641618497,0.05202312138728324,0.005780346820809248
Colombia,2712,1.2275073746312684,1.829646017699115,0.0,119.0,0.7496911690766191,0.17772861356932154,0.07300884955752213,0.4996312684365782,0.05936578171091445,0.009587020648967551,0.0022123893805309734,0.1430678466076696,0.0018436578171091445,0.03355457227138643
Comoros,3,0.0,0.3333333333333333,0.0,0.0,0.23104906018664842,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,3,0.3333333333333333,0.0,0.0,1.0,0.23104906018664842,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,12,0.3333333333333333,1.1666666666666667,0.0,2.0,0.5801869553555172,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,1,1.0,0.0,1.0,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cyprus,23,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.5652173913043478,0.391304347826087,0.0,0.0,0.0,0.0,0.0
Czech Republic,21,0.09523809523809523,1.2380952380952381,0.0,1.0,0.33994604761645353,0.0,0.047619047619047616,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.19047619047619047,0.0
Democratic Republic of the Congo,1490,4.6832214765100675,1.3389261744966443,1.0,400.0,1.1900301722226667,0.39664429530201345,0.016778523489932886,0.020134228187919462,0.09798657718120805,0.0020134228187919465,0.011409395973154362,0.2738255033557047,0.0013422818791946308,0.17986577181208055
Denmark,12,0.25,1.0833333333333333,0.0,1.0,0.6486020013613364,0.4166666666666667,0.08333333333333333,0.25,0.25,0.0,0.0,0.0,0.0,0.0
Djibouti,4,1.25,5.5,0.0,5.0,1.2809909948508147,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0
Dominica,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,2,1.0,0.5,1.0,2.0,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Timor,10,0.9,0.7,0.5,4.0,0.702108396428914,0.3,0.1,0.3,0.2,0.0,0.0,0.1,0.0,0.0
Ecuador,55,0.2545454545454545,1.2363636363636363,0.0,4.0,0.4462878547712862,0.12727272727272726,0.12727272727272726,0.5636363636363636,0.0,0.0,0.0,0.16363636363636364,0.0,0.01818181818181818
Egypt,2179,1.6135842129417164,2.057824690224874,0.0,311.0,0.884698539692655,0.2955484167049105,0.030289123451124368,0.5621844882973841,0.02065167508031207,0.005966039467645709,0.002294630564479119,0.05231757687012391,0.0004589261128958238,0.030289123451124368
Equatorial Guinea,1,1.0,3.0,1.0,1.0,1.6094379124341003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,14,2.857142857142857,3.0714285714285716,0.0,17.0,0.8485018463968654,0.0,0.0,0.7142857142857143,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285
Estonia,3,0.6666666666666666,0.0,1.0,1.0,0.46209812037329684,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,190,11.405263157894737,4.747368421052632,2.0,766.0,1.6572550270416055,0.30526315789473685,0.03684210526315789,0.3631578947368421,0.07368421052631578,0.0,0.005263157894736842,0.15789473684210525,0.0,0.05789473684210526
Fiji,5,1.4,3.4,0.0,7.0,0.6437751649736401,0.0,0.0,0.2,0.2,0.0,0.0,0.6,0.0,0.0
Finland,21,0.5714285714285714,1.6666666666666667,0.0,9.0,0.48498805034214215,0.23809523809523808,0.0,0.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0
France,503,0.6202783300198808,2.238568588469185,0.0,93.0,0.33828362023159475,0.12922465208747516,0.009940357852882704,0.6023856858846919,0.18091451292246521,0.0019880715705765406,0.02385685884691849,0.009940357852882704,0.041749502982107355,0.0
Gabon,5,0.4,0.4,0.0,2.0,0.4394449154672439,0.0,0.2,0.0,0.2,0.0,0.6,0.0,0.0,0.0
Gambia,1,0.0,2.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Georgia,114,0.4473684210526316,1.5789473684210527,0.0,5.0,0.6850935539899041,0.15789473684210525,0.10526315789473684,0.5701754385964912,0.043859649122807015,0.0,0.008771929824561403,0.10526315789473684,0.008771929824561403,0.0
Germany,284,0.20774647887323944,1.0246478873239437,0.0,12.0,0.3649909772311905,0.22535211267605634,0.028169014084507043,0.1267605633802817,0.545774647887324,0.0035211267605633804,0.007042253521126761,0.0035211267605633804,0.0528169014084507,0.007042253521126761
Ghana,17,0.47058823529411764,1.4705882352941178,0.0,2.0,0.8884948572397362,0.29411764705882354,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.0,0.0,0.11764705882352941,0.0,0.0
Greece,659,0.02276176024279211,0.14871016691957512,0.0,3.0,0.08799856467751477,0.08801213960546282,0.025796661608497723,0.36570561456752654,0.4764795144157815,0.0,0.004552352048558422,0.0030349013657056147,0.019726858877086494,0.01669195751138088
Guatemala,24,0.8333333333333334,0.9166666666666666,1.0,2.0,0.8098353234255412,0.25,0.625,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664
Guinea,20,10.45,1.85,1.0,60.0,1.4011349240384408,0.4,0.2,0.05,0.15,0.0,0.0,0.05,0.0,0.15
Guinea-Bissau,9,1.8888888888888888,3.0,1.0,11.0,1.3354520156479819,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,16,2.0625,1.125,0.0,12.0,0.7303247928694176,0.375,0.125,0.0,0.4375,0.0,0.0,0.0625,0.0,0.0
Haiti,39,0.7948717948717948,1.564102564102564,0.0,7.0,0.7398212050931753,0.28205128205128205,0.2564102564102564,0.28205128205128205,0.1794871794871795,0.0,0.0,0.0,0.0,0.0
Honduras,23,2.0434782608695654,0.7391304347826086,1.0,28.0,0.691219621399208,0.17391304347826086,0.43478260869565216,0.30434782608695654,0.0,0.0,0.0,0.08695652173913043,0.0,0.0
Hong Kong,5,0.0,12.8,0.0,0.0,1.613931061377233,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0
Hungary,8,0.375,0.375,0.0,2.0,0.41197960825054114,0.125,0.0,0.5,0.375,0.0,0.0,0.0,0.0,0.0
Iceland,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
India,10887,1.011848994213282,1.8203361807660512,0.0,188.0,0.7027568335070841,0.25966749334068157,0.050518967576008086,0.425094148985028,0.10021126113713603,0.0029392853862404704,0.0059704234408009555,0.12096996417745935,0.014512721594562322,0.020115734362083217
Indonesia,638,1.457680250783699,3.24294670846395,0.0,101.0,0.8941963025294578,0.3495297805642633,0.04075235109717868,0.445141065830721,0.08307210031347963,0.0,0.006269592476489028,0.050156739811912224,0.007836990595611285,0.017241379310344827
International,1,1.0,12.0,1.0,1.0,2.6390573296152584,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran,182,3.340659340659341,7.186813186813187,1.0,40.0,1.3190581764049245,0.32967032967032966,0.054945054945054944,0.45054945054945056,0.016483516483516484,0.005494505494505495,0.01098901098901099,0.06593406593406594,0.0,0.06593406593406594
Iraq,27360,2.9604166666666667,5.049780701754386,1.0,1700.0,1.4637899310589548,0.13092105263157894,0.0527046783625731,0.7282894736842105,0.00804093567251462,0.000402046783625731,0.0011330409356725146,0.03925438596491228,0.0003654970760233918,0.03888888888888889
Ireland,194,0.020618556701030927,0.0979381443298969,0.0,1.0,0.06282972771972802,0.061855670103092786,0.010309278350515464,0.7577319587628866,0.15463917525773196,0.0,0.0,0.0,0.015463917525773196,0.0
Israel,1318,0.7397572078907435,3.5371775417298936,0.0,31.0,0.6582743158856532,0.13050075872534142,0.0015174506828528073,0.8103186646433991,0.03945371775417299,0.0007587253414264037,0.0,0.0037936267071320183,0.011380880121396054,0.002276176024279211
Italy,161,0.037267080745341616,0.7701863354037267,0.0,2.0,0.27631967106669647,0.09316770186335403,0.055900621118012424,0.6832298136645962,0.11180124223602485,0.006211180124223602,0.0,0.006211180124223602,0.043478260869565216,0.0
Ivory Coast,66,3.5606060606060606,2.4696969696969697,1.0,41.0,1.1733086565961715,0.6666666666666666,0.030303030303030304,0.06060606060606061,0.07575757575757576,0.0,0.015151515151515152,0.030303030303030304,0.0,0.12121212121212122
Jamaica,4,0.0,0.5,0.0,0.0,0.34657359027997264,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Japan,44,0.4318181818181818,0.8181818181818182,0.0,19.0,0.16191996051121418,0.045454545454545456,0.0,0.4318181818181818,0.25,0.0,0.022727272727272728,0.0,0.25,0.0
Jordan,48,2.5625,4.854166666666667,1.0,21.0,1.1789364086553273,0.3333333333333333,0.10416666666666667,0.3333333333333333,0.20833333333333334,0.0,0.020833333333333332,0.0,0.0,0.0
Kazakhstan,23,1.2173913043478262,0.9130434782608695,0.0,8.0,0.8342915999758311,0.30434782608695654,0.043478260869565216,0.30434782608695654,0.2608695652173913,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0
Kenya,772,2.1528497409326426,2.8639896373056994,0.0,152.0,1.0751915498393625,0.34974093264248707,0.034974093264248704,0.4067357512953368,0.046632124352331605,0.023316062176165803,0.022020725388601035,0.08549222797927461,0.006476683937823834,0.02461139896373057
Kosovo,162,0.3765432098765432,1.3518518518518519,0.0,10.0,0.5695151633871458,0.24074074074074073,0.07407407407407407,0.5679012345679012,0.07407407407407407,0.0,0.0,0.012345679012345678,0.024691358024691357,0.006172839506172839
Kuwait,12,3.1666666666666665,20.583333333333332,1.0,28.0,1.3380211907678323,0.25,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
Kyrgyzstan,31,0.3225806451612903,0.6451612903225806,0.0,2.0,0.5231862328616698,0.16129032258064516,0.12903225806451613,0.3548387096774194,0.1935483870967742,0.0,0.0,0.06451612903225806,0.06451612903225806,0.03225806451612903
Laos,19,0.7894736842105263,3.736842105263158,0.0,10.0,1.2981695792422232,0.3157894736842105,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0
